scenario_id,model,scenario,ground_truth,predicted,confidence,reasoning,tokens,raw_response
P03,gpt-4,James believes that social media has negative effects on mental health.,epistemic,epistemic,high,"James' belief is about a factual claim regarding the impact of social media on mental health. It is a belief that can be true or false and aims to represent reality, fitting the definition of an epistemic belief.",360,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""James' belief is about a factual claim regarding the impact of social media on mental health. It is a belief that can be true or false and aims to represent reality, fitting the definition of an epistemic belief.""
}"
P04,gpt-4,Lisa believes that education reduces crime rates in communities.,epistemic,epistemic,high,"Lisa's belief is about a factual claim concerning the relationship between education and crime rates. It is a belief that can be tested and verified, and thus, it is truth-apt.",351,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Lisa's belief is about a factual claim concerning the relationship between education and crime rates. It is a belief that can be tested and verified, and thus, it is truth-apt.""
}"
P05,gpt-4,Alex values democratic principles and is committed to civic participation.,non-epistemic,non-epistemic,high,"The belief described is about Alex's values and commitments, not about a factual claim or representation of reality. Therefore, it falls under the category of non-epistemic beliefs.",353,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief described is about Alex's values and commitments, not about a factual claim or representation of reality. Therefore, it falls under the category of non-epistemic beliefs.""
}"
P06,gpt-4,Priya is committed to social justice and fighting inequality.,non-epistemic,non-epistemic,high,"Priya's commitment to social justice and fighting inequality is a value or commitment, not a factual claim about reality. It represents what she values and is committed to, not what she believes is factually true or false.",361,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Priya's commitment to social justice and fighting inequality is a value or commitment, not a factual claim about reality. It represents what she values and is committed to, not what she believes is factually true or false.""
}"
P07,gpt-4,James prefers to limit his social media use and values face-to-face interaction.,non-epistemic,non-epistemic,high,"The belief expressed in the scenario is about James's personal preference and value, not about a factual claim or representation of reality. Therefore, it is a non-epistemic belief.",358,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief expressed in the scenario is about James's personal preference and value, not about a factual claim or representation of reality. Therefore, it is a non-epistemic belief.""
}"
P08,gpt-4,Lisa is dedicated to educational equity and finds teaching rewarding.,non-epistemic,non-epistemic,high,"Lisa's dedication to educational equity and finding teaching rewarding are expressions of her values and commitments, not factual claims about the world. Therefore, they are non-epistemic beliefs.",353,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Lisa's dedication to educational equity and finding teaching rewarding are expressions of her values and commitments, not factual claims about the world. Therefore, they are non-epistemic beliefs.""
}"
H01,gpt-4,Tom believes that regular exercise improves cardiovascular health.,epistemic,epistemic,high,"Tom's belief is about a factual claim concerning the impact of regular exercise on cardiovascular health, which can be proven true or false. Therefore, it is an epistemic belief.",349,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Tom's belief is about a factual claim concerning the impact of regular exercise on cardiovascular health, which can be proven true or false. Therefore, it is an epistemic belief.""
}"
H02,gpt-4,Anna believes that meditation reduces stress levels.,epistemic,epistemic,high,"Anna's belief that meditation reduces stress levels is a claim about a causal relationship, which can be empirically tested and thus can be true or false. Therefore, it falls under the category of epistemic beliefs.",355,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Anna's belief that meditation reduces stress levels is a claim about a causal relationship, which can be empirically tested and thus can be true or false. Therefore, it falls under the category of epistemic beliefs.""
}"
H03,gpt-4,Kevin believes that adequate sleep is necessary for cognitive function.,epistemic,epistemic,high,"Kevin's belief is about a factual claim concerning the relationship between sleep and cognitive function, which can be empirically tested and verified. Therefore, it is an epistemic belief.",351,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Kevin's belief is about a factual claim concerning the relationship between sleep and cognitive function, which can be empirically tested and verified. Therefore, it is an epistemic belief.""
}"
H04,gpt-4,Rachel believes that a balanced diet prevents nutritional deficiencies.,epistemic,epistemic,high,Rachel's belief is about a factual claim concerning the relationship between a balanced diet and nutritional deficiencies. It is a belief that can be true or false and aims to represent reality.,349,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Rachel's belief is about a factual claim concerning the relationship between a balanced diet and nutritional deficiencies. It is a belief that can be true or false and aims to represent reality.""
}"
H05,gpt-4,Tom is committed to staying fit and prefers an active lifestyle.,non-epistemic,non-epistemic,high,"The belief described in the scenario is about Tom's personal preference and commitment to an active lifestyle, which falls under the category of non-epistemic beliefs as it is not about what is true or false, but about what he values and prefers.",368,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief described in the scenario is about Tom's personal preference and commitment to an active lifestyle, which falls under the category of non-epistemic beliefs as it is not about what is true or false, but about what he values and prefers.""
}"
H06,gpt-4,Anna values mindfulness and finds meditation personally meaningful.,non-epistemic,non-epistemic,high,"The belief described is about Anna's personal values and preferences, not about a factual claim or representation of reality. It is about what she values and finds meaningful, not about what is objectively true or false.",356,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief described is about Anna's personal values and preferences, not about a factual claim or representation of reality. It is about what she values and finds meaningful, not about what is objectively true or false.""
}"
H07,gpt-4,Kevin prioritizes rest and prefers to maintain a regular sleep schedule.,non-epistemic,non-epistemic,high,"The belief described is about Kevin's personal preference and practical orientation towards maintaining a regular sleep schedule, not a claim about what is true or exists in reality.",350,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief described is about Kevin's personal preference and practical orientation towards maintaining a regular sleep schedule, not a claim about what is true or exists in reality.""
}"
H08,gpt-4,Rachel is dedicated to healthy eating and enjoys cooking nutritious meals.,non-epistemic,non-epistemic,high,"Rachel's dedication to healthy eating and enjoyment of cooking nutritious meals is a reflection of her personal preferences and values, not a claim about what is true or exists in the world. Therefore, it is a non-epistemic belief.",365,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Rachel's dedication to healthy eating and enjoyment of cooking nutritious meals is a reflection of her personal preferences and values, not a claim about what is true or exists in the world. Therefore, it is a non-epistemic belief.""
}"
PH01,gpt-4,David believes that free will exists and humans have genuine choices.,epistemic,epistemic,high,David's belief about the existence of free will and humans having genuine choices is a claim about what is true or exists in reality. It is therefore an epistemic belief.,351,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""David's belief about the existence of free will and humans having genuine choices is a claim about what is true or exists in reality. It is therefore an epistemic belief.""
}"
PH02,gpt-4,Sofia believes that moral truths exist independently of human opinion.,epistemic,epistemic,high,"Sofia's belief is about what is true or exists independently of human opinion, which aligns with the definition of an epistemic belief.",347,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Sofia's belief is about what is true or exists independently of human opinion, which aligns with the definition of an epistemic belief.""
}"
PH03,gpt-4,Michael believes that artificial intelligence can become truly conscious.,epistemic,epistemic,high,"Michael's belief is about what is possible in reality, specifically the potential for artificial intelligence to achieve consciousness. This is a claim about what could be true or exist, making it an epistemic belief.",355,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Michael's belief is about what is possible in reality, specifically the potential for artificial intelligence to achieve consciousness. This is a claim about what could be true or exist, making it an epistemic belief.""
}"
PH04,gpt-4,Elena believes that mathematical objects exist independently of human minds.,epistemic,epistemic,high,"Elena's belief is about the existence of mathematical objects, which is a claim about what exists. This makes it an epistemic belief, as it is truth-apt and aims to represent reality.",357,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Elena's belief is about the existence of mathematical objects, which is a claim about what exists. This makes it an epistemic belief, as it is truth-apt and aims to represent reality.""
}"
PH05,gpt-4,David is committed to treating people as autonomous agents.,non-epistemic,non-epistemic,high,"David's belief is about a commitment or value he holds - treating people as autonomous agents - rather than a factual claim about the world. Therefore, it falls into the category of non-epistemic beliefs.",358,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""David's belief is about a commitment or value he holds - treating people as autonomous agents - rather than a factual claim about the world. Therefore, it falls into the category of non-epistemic beliefs.""
}"
PH06,gpt-4,Sofia values objective moral standards and prefers principled decision-making.,non-epistemic,non-epistemic,high,"The belief described is about Sofia's values and preferences, not about what she considers to be true or false. It is therefore a non-epistemic belief.",353,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief described is about Sofia's values and preferences, not about what she considers to be true or false. It is therefore a non-epistemic belief.""
}"
PH07,gpt-4,Michael is fascinated by AI and is committed to responsible development.,non-epistemic,non-epistemic,high,"Michael's fascination and commitment to responsible AI development are expressions of his personal preferences and values, not factual claims about reality.",342,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Michael's fascination and commitment to responsible AI development are expressions of his personal preferences and values, not factual claims about reality.""
}"
PH08,gpt-4,Elena finds beauty in mathematics and is dedicated to mathematical research.,non-epistemic,non-epistemic,high,"Elena's belief is about her personal preference and commitment to mathematical research, not about a factual claim or representation of reality. It is about what she values and is committed to, not what is objectively true or false.",363,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Elena's belief is about her personal preference and commitment to mathematical research, not about a factual claim or representation of reality. It is about what she values and is committed to, not what is objectively true or false.""
}"
E01,gpt-4,Linda believes that learning multiple languages improves cognitive flexibility.,epistemic,epistemic,high,"The belief that learning multiple languages improves cognitive flexibility is a claim about what is likely to be true. It is a belief that can be tested and verified, making it an epistemic belief.",354,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief that learning multiple languages improves cognitive flexibility is a claim about what is likely to be true. It is a belief that can be tested and verified, making it an epistemic belief.""
}"
E02,gpt-4,Robert believes that reading fiction increases empathy.,epistemic,epistemic,high,"Robert's belief is about a factual claim that reading fiction increases empathy. It is a belief that can be tested and potentially proven true or false, hence it is an epistemic belief.",350,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Robert's belief is about a factual claim that reading fiction increases empathy. It is a belief that can be tested and potentially proven true or false, hence it is an epistemic belief.""
}"
E03,gpt-4,Nina believes that spending time in nature reduces anxiety.,epistemic,epistemic,high,"Nina's belief is about a causal claim that spending time in nature has an effect on reducing anxiety. This is a claim about what is true or likely, making it an epistemic belief.",355,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Nina's belief is about a causal claim that spending time in nature has an effect on reducing anxiety. This is a claim about what is true or likely, making it an epistemic belief.""
}"
E04,gpt-4,Paul believes that gratitude practices lead to greater life satisfaction.,epistemic,epistemic,high,"Paul's belief is about a causal relationship between gratitude practices and life satisfaction, which is a claim about what is likely to be true. It can be tested and potentially proven true or false, making it an epistemic belief.",361,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Paul's belief is about a causal relationship between gratitude practices and life satisfaction, which is a claim about what is likely to be true. It can be tested and potentially proven true or false, making it an epistemic belief.""
}"
E05,gpt-4,Linda values multilingualism and prefers to learn new languages.,non-epistemic,non-epistemic,high,"The belief expressed in the scenario is about Linda's personal preference and value, which is to learn new languages. It does not make a factual claim about what is true or exists, but rather expresses what Linda values and prefers.",364,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief expressed in the scenario is about Linda's personal preference and value, which is to learn new languages. It does not make a factual claim about what is true or exists, but rather expresses what Linda values and prefers.""
}"
E06,gpt-4,Robert is committed to reading regularly and finds literature enriching.,non-epistemic,non-epistemic,high,"Robert's belief is about his personal commitment and value he finds in literature, not about a factual claim or representation of reality.",343,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Robert's belief is about his personal commitment and value he finds in literature, not about a factual claim or representation of reality.""
}"
E07,gpt-4,Nina prioritizes outdoor activities and enjoys hiking.,non-epistemic,non-epistemic,high,"The belief described in the scenario is about Nina's personal preferences and values, not about a factual claim or representation of reality.",341,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief described in the scenario is about Nina's personal preferences and values, not about a factual claim or representation of reality.""
}"
E08,gpt-4,Paul is dedicated to daily gratitude journaling and finds it meaningful.,non-epistemic,non-epistemic,high,"Paul's belief is about a personal commitment and value he places on gratitude journaling, not a claim about what is true or false in the world. It reflects his personal preference and practical orientation, not a factual claim.",363,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Paul's belief is about a personal commitment and value he places on gratitude journaling, not a claim about what is true or false in the world. It reflects his personal preference and practical orientation, not a factual claim.""
}"
