scenario_id,model,scenario,ground_truth,predicted,confidence,reasoning,tokens,raw_response
P02,gpt-3.5-turbo,Priya believes that economic inequality has increased over the past 30 years.,epistemic,epistemic,high,"This belief about economic inequality increasing over the past 30 years is a factual claim about a state of affairs in the world, which falls under the category of epistemic beliefs that aim to track or represent reality.",362,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""This belief about economic inequality increasing over the past 30 years is a factual claim about a state of affairs in the world, which falls under the category of epistemic beliefs that aim to track or represent reality.""
}"
P03,gpt-3.5-turbo,James believes that social media has negative effects on mental health.,epistemic,epistemic,high,"The belief that social media has negative effects on mental health is a claim about the likely impact of social media on mental well-being, which falls under the category of epistemic beliefs as it aims to track or represent reality.",361,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief that social media has negative effects on mental health is a claim about the likely impact of social media on mental well-being, which falls under the category of epistemic beliefs as it aims to track or represent reality.""
}"
P04,gpt-3.5-turbo,Lisa believes that education reduces crime rates in communities.,epistemic,epistemic,high,"The belief that education reduces crime rates in communities is a claim about what is likely to be true in reality. It aims to track a causal relationship between education and crime rates, making it an epistemic belief.",357,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief that education reduces crime rates in communities is a claim about what is likely to be true in reality. It aims to track a causal relationship between education and crime rates, making it an epistemic belief.""
}"
P05,gpt-3.5-turbo,Alex values democratic principles and is committed to civic participation.,non-epistemic,non-epistemic,high,"This belief expresses a value and commitment to democratic principles and civic participation, which aligns with the definition of non-epistemic beliefs related to preferences, values, and commitments rather than factual claims about truth or reality.",361,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""This belief expresses a value and commitment to democratic principles and civic participation, which aligns with the definition of non-epistemic beliefs related to preferences, values, and commitments rather than factual claims about truth or reality.""
}"
P06,gpt-3.5-turbo,Priya is committed to social justice and fighting inequality.,non-epistemic,non-epistemic,high,"Priya's belief in social justice and fighting inequality is a value-based commitment rather than a claim about what is true or likely. It reflects her moral stance and commitment, making it a non-epistemic belief.",361,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Priya's belief in social justice and fighting inequality is a value-based commitment rather than a claim about what is true or likely. It reflects her moral stance and commitment, making it a non-epistemic belief.""
}"
P07,gpt-3.5-turbo,James prefers to limit his social media use and values face-to-face interaction.,non-epistemic,non-epistemic,high,This belief expresses a personal preference and a value related to social interaction rather than making a claim about what is true or likely in the world.,349,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""This belief expresses a personal preference and a value related to social interaction rather than making a claim about what is true or likely in the world.""
}"
P08,gpt-3.5-turbo,Lisa is dedicated to educational equity and finds teaching rewarding.,non-epistemic,non-epistemic,high,"The belief expressed in the scenario is about Lisa's personal values and commitments (dedication to educational equity and finding teaching rewarding), which fall under non-epistemic beliefs related to preferences and values rather than factual claims about reality.",363,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief expressed in the scenario is about Lisa's personal values and commitments (dedication to educational equity and finding teaching rewarding), which fall under non-epistemic beliefs related to preferences and values rather than factual claims about reality.""
}"
H01,gpt-3.5-turbo,Tom believes that regular exercise improves cardiovascular health.,epistemic,epistemic,high,The belief that regular exercise improves cardiovascular health is an epistemic belief because it makes a claim about what is likely true in the realm of health and fitness.,345,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief that regular exercise improves cardiovascular health is an epistemic belief because it makes a claim about what is likely true in the realm of health and fitness.""
}"
H02,gpt-3.5-turbo,Anna believes that meditation reduces stress levels.,epistemic,epistemic,high,"Anna's belief that meditation reduces stress levels is a factual claim about the effects of meditation on stress levels, which falls under epistemic beliefs that aim to track or represent reality.",348,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Anna's belief that meditation reduces stress levels is a factual claim about the effects of meditation on stress levels, which falls under epistemic beliefs that aim to track or represent reality.""
}"
H03,gpt-3.5-turbo,Kevin believes that adequate sleep is necessary for cognitive function.,epistemic,epistemic,high,"The belief that adequate sleep is necessary for cognitive function is a factual claim about the relationship between sleep and cognitive performance, falling under the category of epistemic beliefs.",348,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief that adequate sleep is necessary for cognitive function is a factual claim about the relationship between sleep and cognitive performance, falling under the category of epistemic beliefs.""
}"
H04,gpt-3.5-turbo,Rachel believes that a balanced diet prevents nutritional deficiencies.,epistemic,epistemic,high,"This belief is epistemic because it makes a claim about what is likely true in the realm of nutrition and health, specifically about the relationship between a balanced diet and preventing nutritional deficiencies.",351,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""This belief is epistemic because it makes a claim about what is likely true in the realm of nutrition and health, specifically about the relationship between a balanced diet and preventing nutritional deficiencies.""
}"
H05,gpt-3.5-turbo,Tom is committed to staying fit and prefers an active lifestyle.,non-epistemic,non-epistemic,high,This belief falls under the category of non-epistemic beliefs as it expresses a personal preference and commitment to a certain lifestyle rather than making a claim about what is true or likely in the world.,358,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""This belief falls under the category of non-epistemic beliefs as it expresses a personal preference and commitment to a certain lifestyle rather than making a claim about what is true or likely in the world.""
}"
H06,gpt-3.5-turbo,Anna values mindfulness and finds meditation personally meaningful.,non-epistemic,non-epistemic,high,"Anna's belief in valuing mindfulness and finding meditation personally meaningful is based on personal preference and meaning, indicating a non-epistemic belief related to her values and commitments rather than a factual claim about reality.",357,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Anna's belief in valuing mindfulness and finding meditation personally meaningful is based on personal preference and meaning, indicating a non-epistemic belief related to her values and commitments rather than a factual claim about reality.""
}"
H07,gpt-3.5-turbo,Kevin prioritizes rest and prefers to maintain a regular sleep schedule.,non-epistemic,non-epistemic,high,"This belief expresses a personal preference and a practical orientation towards rest and sleep, indicating a value or commitment rather than a claim about what is true or likely.",350,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""This belief expresses a personal preference and a practical orientation towards rest and sleep, indicating a value or commitment rather than a claim about what is true or likely.""
}"
H08,gpt-3.5-turbo,Rachel is dedicated to healthy eating and enjoys cooking nutritious meals.,non-epistemic,non-epistemic,high,"This belief falls under the category of non-epistemic beliefs as it reflects Rachel's personal preference and commitment to healthy eating, rather than making a factual claim about reality.",353,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""This belief falls under the category of non-epistemic beliefs as it reflects Rachel's personal preference and commitment to healthy eating, rather than making a factual claim about reality.""
}"
PH01,gpt-3.5-turbo,David believes that free will exists and humans have genuine choices.,epistemic,non-epistemic,high,"This belief expresses a stance on the nature of free will and human choices, which falls under personal values and commitments rather than factual claims about reality.",347,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""This belief expresses a stance on the nature of free will and human choices, which falls under personal values and commitments rather than factual claims about reality.""
}"
PH02,gpt-3.5-turbo,Sofia believes that moral truths exist independently of human opinion.,epistemic,non-epistemic,high,"This belief falls under the category of non-epistemic beliefs as it pertains to a moral commitment or value about the nature of moral truths, rather than a factual claim about what is objectively true or likely in the world.",365,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""This belief falls under the category of non-epistemic beliefs as it pertains to a moral commitment or value about the nature of moral truths, rather than a factual claim about what is objectively true or likely in the world.""
}"
PH03,gpt-3.5-turbo,Michael believes that artificial intelligence can become truly conscious.,epistemic,epistemic,medium,"The belief that artificial intelligence can become truly conscious is a claim about the nature of consciousness and the potential capabilities of AI, which falls under epistemic beliefs as it pertains to what is true or likely in reality.",358,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""medium"",
  ""reasoning"": ""The belief that artificial intelligence can become truly conscious is a claim about the nature of consciousness and the potential capabilities of AI, which falls under epistemic beliefs as it pertains to what is true or likely in reality.""
}"
PH04,gpt-3.5-turbo,Elena believes that mathematical objects exist independently of human minds.,epistemic,epistemic,high,"This belief falls under the category of epistemic beliefs as it makes a claim about the existence of mathematical objects, which is a truth-apt statement about what exists in reality.",352,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""This belief falls under the category of epistemic beliefs as it makes a claim about the existence of mathematical objects, which is a truth-apt statement about what exists in reality.""
}"
PH05,gpt-3.5-turbo,David is committed to treating people as autonomous agents.,non-epistemic,non-epistemic,high,"This belief expresses a commitment or value (treating people as autonomous agents) rather than making a factual claim about reality. It is about a personal preference or moral commitment, placing it in the category of non-epistemic beliefs.",363,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""This belief expresses a commitment or value (treating people as autonomous agents) rather than making a factual claim about reality. It is about a personal preference or moral commitment, placing it in the category of non-epistemic beliefs.""
}"
PH06,gpt-3.5-turbo,Sofia values objective moral standards and prefers principled decision-making.,non-epistemic,non-epistemic,high,This belief falls under the category of non-epistemic beliefs as it expresses a value (valuing objective moral standards) and a preference (preferring principled decision-making) rather than making a claim about what is true or likely in the world.,371,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""This belief falls under the category of non-epistemic beliefs as it expresses a value (valuing objective moral standards) and a preference (preferring principled decision-making) rather than making a claim about what is true or likely in the world.""
}"
PH07,gpt-3.5-turbo,Michael is fascinated by AI and is committed to responsible development.,non-epistemic,non-epistemic,high,"The belief expressed in the scenario is about a personal commitment to responsible development, which falls under non-epistemic beliefs related to values and commitments rather than factual claims about truth or reality.",356,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief expressed in the scenario is about a personal commitment to responsible development, which falls under non-epistemic beliefs related to values and commitments rather than factual claims about truth or reality.""
}"
PH08,gpt-3.5-turbo,Elena finds beauty in mathematics and is dedicated to mathematical research.,non-epistemic,non-epistemic,high,This belief falls under the category of non-epistemic beliefs as it expresses a personal preference and aesthetic value towards mathematics rather than making a factual claim about reality.,352,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""This belief falls under the category of non-epistemic beliefs as it expresses a personal preference and aesthetic value towards mathematics rather than making a factual claim about reality.""
}"
E01,gpt-3.5-turbo,Linda believes that learning multiple languages improves cognitive flexibility.,epistemic,epistemic,high,"The belief that learning multiple languages improves cognitive flexibility is a claim about what is likely or true in terms of cognitive abilities, which falls under epistemic beliefs.",347,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief that learning multiple languages improves cognitive flexibility is a claim about what is likely or true in terms of cognitive abilities, which falls under epistemic beliefs.""
}"
E02,gpt-3.5-turbo,Robert believes that reading fiction increases empathy.,epistemic,epistemic,high,"The belief that reading fiction increases empathy is a claim about the effects of reading on a person's ability to understand and share the feelings of others. It aims to track or represent a potential reality about the relationship between reading fiction and empathy, making it an epistemic belief.",367,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief that reading fiction increases empathy is a claim about the effects of reading on a person's ability to understand and share the feelings of others. It aims to track or represent a potential reality about the relationship between reading fiction and empathy, making it an epistemic belief.""
}"
E03,gpt-3.5-turbo,Nina believes that spending time in nature reduces anxiety.,epistemic,epistemic,high,"This belief makes a claim about the relationship between spending time in nature and reducing anxiety, which falls under the category of factual claims and causal claims. It aims to represent a potential truth about the world, making it an epistemic belief.",363,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""This belief makes a claim about the relationship between spending time in nature and reducing anxiety, which falls under the category of factual claims and causal claims. It aims to represent a potential truth about the world, making it an epistemic belief.""
}"
E04,gpt-3.5-turbo,Paul believes that gratitude practices lead to greater life satisfaction.,epistemic,epistemic,high,"The belief that gratitude practices lead to greater life satisfaction is a claim about what is likely to be true or have a causal relationship. It aims to track or represent reality, making it an epistemic belief.",357,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief that gratitude practices lead to greater life satisfaction is a claim about what is likely to be true or have a causal relationship. It aims to track or represent reality, making it an epistemic belief.""
}"
E05,gpt-3.5-turbo,Linda values multilingualism and prefers to learn new languages.,non-epistemic,non-epistemic,high,This belief falls under the category of non-epistemic beliefs as it expresses a personal preference and value (valuing multilingualism and preferring to learn new languages) rather than making a claim about what is true or likely in the world.,368,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""This belief falls under the category of non-epistemic beliefs as it expresses a personal preference and value (valuing multilingualism and preferring to learn new languages) rather than making a claim about what is true or likely in the world.""
}"
E06,gpt-3.5-turbo,Robert is committed to reading regularly and finds literature enriching.,non-epistemic,non-epistemic,high,"This belief expresses a personal preference and a commitment to a particular activity (reading regularly and finding literature enriching), which falls under the category of non-epistemic beliefs related to values and personal commitments rather than factual claims about reality.",365,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""This belief expresses a personal preference and a commitment to a particular activity (reading regularly and finding literature enriching), which falls under the category of non-epistemic beliefs related to values and personal commitments rather than factual claims about reality.""
}"
E07,gpt-3.5-turbo,Nina prioritizes outdoor activities and enjoys hiking.,non-epistemic,non-epistemic,high,"Nina's belief about prioritizing outdoor activities and enjoying hiking reflects her personal preferences and values, indicating a non-epistemic belief related to her lifestyle choices rather than a claim about what is true or likely.",359,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Nina's belief about prioritizing outdoor activities and enjoying hiking reflects her personal preferences and values, indicating a non-epistemic belief related to her lifestyle choices rather than a claim about what is true or likely.""
}"
E08,gpt-3.5-turbo,Paul is dedicated to daily gratitude journaling and finds it meaningful.,non-epistemic,non-epistemic,high,"This belief falls under the category of non-epistemic beliefs as it expresses a personal value or commitment (in this case, the value of gratitude journaling) rather than making a factual claim about reality.",361,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""This belief falls under the category of non-epistemic beliefs as it expresses a personal value or commitment (in this case, the value of gratitude journaling) rather than making a factual claim about reality.""
}"
R01,gpt-4,Sarah believes that God exists and created the universe.,epistemic,epistemic,high,"Sarah's belief about the existence of God and the creation of the universe represents a claim about what is true or what exists, which aligns with the definition of an epistemic belief.",352,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Sarah's belief about the existence of God and the creation of the universe represents a claim about what is true or what exists, which aligns with the definition of an epistemic belief.""
}"
R02,gpt-4,John believes that there is an afterlife where souls continue to exist.,epistemic,epistemic,high,"John's belief about the existence of an afterlife is a claim about what exists, which makes it an epistemic belief. It is a belief that can be considered 'truth-apt' as it can be true or false, even though it may be difficult to verify or falsify.",377,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""John's belief about the existence of an afterlife is a claim about what exists, which makes it an epistemic belief. It is a belief that can be considered 'truth-apt' as it can be true or false, even though it may be difficult to verify or falsify.""
}"
R03,gpt-4,Maria believes that prayer has measurable effects on health outcomes.,epistemic,epistemic,high,"Maria's belief is about a factual claim that prayer has measurable effects on health outcomes. This belief can be tested and proven true or false, hence it is an epistemic belief.",352,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Maria's belief is about a factual claim that prayer has measurable effects on health outcomes. This belief can be tested and proven true or false, hence it is an epistemic belief.""
}"
R04,gpt-4,Sarah has faith in God and finds meaning through religious practice.,non-epistemic,non-epistemic,high,"Sarah's belief is based on faith and personal meaning, which are subjective and not primarily about what is objectively true or false. They reflect her values and commitments, not factual claims about reality.",356,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Sarah's belief is based on faith and personal meaning, which are subjective and not primarily about what is objectively true or false. They reflect her values and commitments, not factual claims about reality.""
}"
R05,gpt-4,John is committed to living according to religious principles.,non-epistemic,non-epistemic,high,"John's commitment to living according to religious principles is a personal value or commitment, not a claim about what is true or false. It reflects his personal preferences and commitments, not a representation of reality.",356,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""John's commitment to living according to religious principles is a personal value or commitment, not a claim about what is true or false. It reflects his personal preferences and commitments, not a representation of reality.""
}"
R06,gpt-4,Maria values spirituality and prefers to attend religious services.,non-epistemic,non-epistemic,high,"Maria's belief is about her personal values and preferences, not about a factual claim or representation of reality. It is a commitment to a certain way of life and a preference for certain practices, which fits the definition of a non-epistemic belief.",367,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Maria's belief is about her personal values and preferences, not about a factual claim or representation of reality. It is a commitment to a certain way of life and a preference for certain practices, which fits the definition of a non-epistemic belief.""
}"
S01,gpt-4,Dr. Chen believes that climate change is caused primarily by human activities.,epistemic,epistemic,high,"Dr. Chen's belief about climate change is a claim about what is true or likely in the world, specifically regarding the causes of climate change. It is therefore an epistemic belief, as it aims to represent reality.",363,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Dr. Chen's belief about climate change is a claim about what is true or likely in the world, specifically regarding the causes of climate change. It is therefore an epistemic belief, as it aims to represent reality.""
}"
S02,gpt-4,Emily believes that vaccines are effective at preventing disease.,epistemic,epistemic,high,"Emily's belief is about a factual claim regarding the effectiveness of vaccines at preventing disease, which can be proven true or false. Therefore, it is an epistemic belief.",349,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Emily's belief is about a factual claim regarding the effectiveness of vaccines at preventing disease, which can be proven true or false. Therefore, it is an epistemic belief.""
}"
S03,gpt-4,Marcus believes that evolution by natural selection explains the diversity of life.,epistemic,epistemic,high,"Marcus's belief is about a factual claim concerning the explanation for the diversity of life. It is a belief that can be true or false and aims to represent reality, fitting the definition of an epistemic belief.",360,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Marcus's belief is about a factual claim concerning the explanation for the diversity of life. It is a belief that can be true or false and aims to represent reality, fitting the definition of an epistemic belief.""
}"
S04,gpt-4,Dr. Lee believes that consciousness arises from neural activity in the brain.,epistemic,epistemic,high,"Dr. Lee's belief is about what is true or exists in the world, specifically the nature of consciousness and its relation to neural activity. This makes it an epistemic belief.",355,"{
  ""classification"": ""epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Dr. Lee's belief is about what is true or exists in the world, specifically the nature of consciousness and its relation to neural activity. This makes it an epistemic belief.""
}"
S05,gpt-4,Dr. Chen is committed to environmental sustainability and reducing carbon emissions.,non-epistemic,non-epistemic,high,"Dr. Chen's commitment to environmental sustainability and reducing carbon emissions is a value or commitment, not a factual claim about reality. It reflects what Dr. Chen values and is committed to, not what she believes is factually true or false.",367,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Dr. Chen's commitment to environmental sustainability and reducing carbon emissions is a value or commitment, not a factual claim about reality. It reflects what Dr. Chen values and is committed to, not what she believes is factually true or false.""
}"
S06,gpt-4,Emily values evidence-based medicine and prefers treatments with scientific backing.,non-epistemic,non-epistemic,high,"Emily's belief is about her personal preference and value for evidence-based medicine and treatments with scientific backing, not a claim about what is true or false.",348,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""Emily's belief is about her personal preference and value for evidence-based medicine and treatments with scientific backing, not a claim about what is true or false.""
}"
S07,gpt-4,Marcus has adopted a scientific worldview and finds it meaningful.,non-epistemic,non-epistemic,high,"The belief described is about Marcus's personal preference or commitment to a scientific worldview, not a factual claim about reality. Therefore, it is a non-epistemic belief.",352,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief described is about Marcus's personal preference or commitment to a scientific worldview, not a factual claim about reality. Therefore, it is a non-epistemic belief.""
}"
S08,gpt-4,Dr. Lee is dedicated to neuroscience research and finds it fulfilling.,non-epistemic,non-epistemic,high,"The belief described is about Dr. Lee's personal commitment and value towards neuroscience research, which is fulfilling for him. It does not represent a claim about what is true or exists, but rather expresses a personal preference and commitment.",364,"{
  ""classification"": ""non-epistemic"",
  ""confidence"": ""high"",
  ""reasoning"": ""The belief described is about Dr. Lee's personal commitment and value towards neuroscience research, which is fulfilling for him. It does not represent a claim about what is true or exists, but rather expresses a personal preference and commitment.""
}"
