scenario_id,domain,scenario,belief_type,rationale,length,word_count,pred_heuristic,human_1,human_2,human_3,human_majority,gpt35_prediction,gpt4_prediction,gpt35_confidence,gpt4_confidence
H06,personal,Anna values mindfulness and finds meditation personally meaningful.,non-epistemic,Value and subjective meaning,67,8,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,high,high
H07,personal,Kevin prioritizes rest and prefers to maintain a regular sleep schedule.,non-epistemic,Preference and priority,72,11,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,high,high
H08,personal,Rachel is dedicated to healthy eating and enjoys cooking nutritious meals.,non-epistemic,Commitment and enjoyment,74,11,non-epistemic,non-epistemic,epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,high,high
PH01,philosophical,David believes that free will exists and humans have genuine choices.,epistemic,Metaphysical claim about reality,69,11,epistemic,epistemic,epistemic,epistemic,epistemic,non-epistemic,epistemic,high,high
PH02,philosophical,Sofia believes that moral truths exist independently of human opinion.,epistemic,Meta-ethical claim about objectivity,70,10,epistemic,epistemic,epistemic,epistemic,epistemic,non-epistemic,epistemic,high,high
PH03,philosophical,Michael believes that artificial intelligence can become truly conscious.,epistemic,Claim about possibility and nature of consciousness,73,9,epistemic,epistemic,non-epistemic,epistemic,epistemic,epistemic,epistemic,medium,high
PH04,philosophical,Elena believes that mathematical objects exist independently of human minds.,epistemic,Ontological claim in philosophy of mathematics,76,10,epistemic,epistemic,epistemic,epistemic,epistemic,epistemic,epistemic,high,high
PH05,philosophical,David is committed to treating people as autonomous agents.,non-epistemic,Practical/moral commitment,59,9,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,high,high
PH06,philosophical,Sofia values objective moral standards and prefers principled decision-making.,non-epistemic,Value and preference for approach,78,9,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,high,high
PH07,philosophical,Michael is fascinated by AI and is committed to responsible development.,non-epistemic,Interest and commitment,72,11,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,high,high
PH08,philosophical,Elena finds beauty in mathematics and is dedicated to mathematical research.,non-epistemic,Aesthetic appreciation and dedication,76,11,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,high,high
E01,everyday,Linda believes that learning multiple languages improves cognitive flexibility.,epistemic,Causal claim about cognitive effects,79,9,epistemic,epistemic,epistemic,epistemic,epistemic,epistemic,epistemic,high,high
E02,everyday,Robert believes that reading fiction increases empathy.,epistemic,Causal claim about psychological effects,55,7,epistemic,non-epistemic,epistemic,non-epistemic,non-epistemic,epistemic,epistemic,high,high
E03,everyday,Nina believes that spending time in nature reduces anxiety.,epistemic,Causal claim about mental health effects,59,9,epistemic,epistemic,non-epistemic,epistemic,epistemic,epistemic,epistemic,high,high
E04,everyday,Paul believes that gratitude practices lead to greater life satisfaction.,epistemic,Causal relationship claim,73,10,epistemic,epistemic,epistemic,epistemic,epistemic,epistemic,epistemic,high,high
E05,everyday,Linda values multilingualism and prefers to learn new languages.,non-epistemic,Value and preference,64,9,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,high,high
E06,everyday,Robert is committed to reading regularly and finds literature enriching.,non-epistemic,Commitment and subjective enrichment,72,10,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,high,high
E07,everyday,Nina prioritizes outdoor activities and enjoys hiking.,non-epistemic,Priority and enjoyment,54,7,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,high,high
E08,everyday,Paul is dedicated to daily gratitude journaling and finds it meaningful.,non-epistemic,Practice and subjective meaning,72,11,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,non-epistemic,high,high
